,City,Country,Lat,Lon,Tmax,% H,Cloudiness,Wind v,Date
0,Mayo,US,38.8876,-76.5119,46.0,100,90,3.44,1614607236
1,Clyde River,CA,70.4692,-68.5914,-14.8,64,75,24.16,1614607237
2,Albany,US,42.6001,-73.9662,39.99,86,100,6.62,1614607028
3,Concepción del Oro,MX,24.6333,-101.4167,54.14,41,23,1.5,1614607240
4,Cape Town,ZA,-33.9258,18.4232,84.2,34,40,8.05,1614607162
5,Hyderabad,IN,17.3753,78.4744,84.99,51,40,4.61,1614607211
6,Pevek,RU,69.7008,170.3133,-25.15,88,2,2.19,1614607243
7,Barrow,US,71.2906,-156.7887,-18.4,69,90,10.36,1614607245
8,Touros,BR,-5.1989,-35.4608,80.6,83,40,4.61,1614607247
9,Zapolyarnyy,RU,69.4154,30.8136,33.8,64,0,24.16,1614607248
10,Chokurdakh,RU,70.6333,147.9167,-24.21,87,49,6.76,1614607249
11,Maţāy,EG,28.419,30.7792,71.6,27,0,11.5,1614607217
12,Dondo,MZ,-19.6094,34.7431,84.2,65,20,13.8,1614607252
13,Santa Cruz de la Sierra,BO,-17.8,-63.1667,86.0,58,20,11.5,1614607127
14,Jamestown,US,42.097,-79.2353,33.01,95,90,16.28,1614607062
15,Bluff,NZ,-46.6,168.3333,57.0,96,97,3.02,1614607244
16,Busselton,AU,-33.65,115.3333,66.0,80,100,1.01,1614607257
17,Mayumba,GA,-3.432,10.6554,82.76,79,24,12.44,1614607258
18,Bredasdorp,ZA,-34.5322,20.0403,82.4,54,100,9.22,1614607259
19,Göksun,TR,38.021,36.4973,57.2,33,40,9.22,1614607261
20,Vila Franca do Campo,PT,37.7167,-25.4333,59.0,72,20,11.5,1614607262
21,Mataura,NZ,-46.1927,168.8643,57.0,96,92,1.25,1614607264
22,Krivosheino,RU,57.3431,83.9261,-0.4,92,100,9.26,1614607265
23,Kaitangata,NZ,-46.2817,169.8464,56.55,95,74,3.38,1614607266
24,Qingdao,CN,36.0986,120.3719,30.0,80,0,13.42,1614607268
25,Sampit,ID,-2.5333,112.95,77.31,84,67,2.44,1614607269
26,Tuatapere,NZ,-46.1333,167.6833,57.0,96,23,3.74,1614607270
27,Carnarvon,AU,-24.8667,113.6333,77.0,78,52,8.05,1614607271
28,Saskylakh,RU,71.9167,114.0833,-31.99,83,93,4.97,1614607273
29,Timizart,DZ,36.8,4.2667,69.08,40,45,7.58,1614607274
30,Port Alfred,ZA,-33.5906,26.891,80.8,63,17,31.36,1614607275
31,Bambous Virieux,MU,-20.3428,57.7575,84.2,74,75,13.8,1614607277
32,Ushuaia,AR,-54.8,-68.3,42.8,81,75,11.5,1614607278
33,Loralai,PK,30.3705,68.598,58.59,15,0,7.83,1614607279
34,Grand-Santi,GF,4.25,-54.3833,83.75,63,46,4.7,1614607280
35,Saint-Philippe,RE,-21.3585,55.7679,84.2,65,20,25.32,1614607282
36,Brae,GB,60.3964,-1.353,46.4,81,75,14.97,1614607283
37,Arlit,NE,18.7369,7.3853,93.47,11,97,13.22,1614607284
38,Vaini,TO,-21.2,-175.2,73.4,100,40,5.75,1614607286
39,Stokmarknes,NO,68.5646,14.9108,41.0,81,75,27.63,1614607287
40,Codrington,AU,-38.2667,141.9667,55.49,59,99,13.22,1614607288
41,Qaanaaq,GL,77.484,-69.3632,-3.44,66,34,10.69,1614607290
42,Tasiilaq,GL,65.6145,-37.6368,19.4,79,1,6.91,1614607291
43,San Patricio,US,28.017,-97.5169,71.6,100,90,6.91,1614607292
44,Careiro da Várzea,BR,-3.2003,-59.8119,80.6,78,75,4.61,1614607294
45,Punta Arenas,CL,-53.15,-70.9167,46.4,57,0,11.5,1614607224
46,Isangel,VU,-19.55,169.2667,77.58,82,7,9.44,1614607296
47,Asău,RO,46.4333,26.4,39.0,58,100,7.99,1614607297
48,Jalu,LY,29.0331,21.5482,70.95,28,0,7.67,1614607299
49,Lebu,CL,-37.6167,-73.65,64.15,77,63,20.09,1614607300
50,Faya,SA,18.3851,42.4509,66.2,45,0,12.66,1614607301
51,Cairns,AU,-16.9167,145.7667,73.4,94,90,4.61,1614607303
52,Grootfontein,NA,-19.5667,18.1167,78.8,50,40,6.91,1614607304
53,Nikolskoye,RU,59.7035,30.7861,42.01,65,0,17.9,1614607305
54,Bogoslovka,RU,53.2084,44.8013,13.21,94,93,6.08,1614607307
55,Zverinogolovskoye,RU,54.4586,64.8542,-2.6,93,85,0.22,1614607308
56,Kuah,MY,6.3265,99.8432,84.2,79,20,3.44,1614607309
57,New Norfolk,AU,-42.7826,147.0587,52.0,73,100,3.0,1614607312
58,Lorengau,PG,-2.0226,147.2712,82.36,78,71,8.41,1614607313
59,Chui,UY,-33.6971,-53.4616,77.05,66,90,12.64,1614607314
60,Yangi Marg`ilon,UZ,40.4272,71.7189,46.4,46,0,6.91,1614607316
61,Puerto Escondido,MX,15.85,-97.0667,69.8,88,1,5.75,1614607317
62,Umm Hājar,TD,13.2954,19.6966,101.5,8,0,8.08,1614607318
63,Puerto Ayora,EC,-0.7393,-90.3518,75.99,98,0,5.99,1614607320
64,Eravur,LK,7.7733,81.6095,78.17,67,0,5.39,1614607321
65,Lüderitz,NA,-26.6481,15.1594,72.77,64,0,6.96,1614607323
66,Hithadhoo,MV,-0.6,73.0833,82.94,63,1,8.93,1614607324
67,Warman,CA,52.3168,-106.5679,12.2,79,90,18.41,1614607202
68,Hobart,AU,-42.8794,147.3294,52.0,87,75,14.97,1614607240
69,Kapaa,US,22.0752,-159.319,71.6,73,90,24.16,1614607328
70,Oriximiná,BR,-1.7656,-55.8661,74.46,93,99,2.77,1614607330
71,Camopi,GF,3.1655,-52.3158,76.66,91,98,3.02,1614607305
72,Tautira,PF,-17.7333,-149.15,78.8,78,20,3.44,1614607310
73,Cockburn Town,TC,21.4612,-71.1419,76.03,73,30,23.4,1614607334
74,Poum,NC,-20.2333,164.0167,80.28,71,64,9.64,1614607336
75,Dessie,ET,11.1333,39.6333,59.61,70,100,4.94,1614607337
76,Skjervøy,NO,70.0311,20.9714,33.8,86,75,26.46,1614607338
77,Capreol,CA,46.706,-80.9225,14.0,52,75,13.8,1614607340
78,Rikitea,PF,-23.1203,-134.9692,77.59,68,57,7.81,1614607341
79,Cidreira,BR,-30.1811,-50.2056,77.5,74,66,14.16,1614607343
80,Flinders,AU,-34.5833,150.8552,70.0,81,67,1.01,1614607345
81,Kavieng,PG,-2.5744,150.7967,83.19,75,99,9.57,1614607347
82,Cabo San Lucas,MX,22.8909,-109.9124,64.99,51,20,1.68,1614607326
83,Hasaki,JP,35.7333,140.8333,55.4,88,75,8.05,1614607349
84,Inhambane,MZ,-23.865,35.3833,86.0,58,75,14.97,1614607350
85,Bambanglipuro,ID,-7.95,110.2833,80.24,79,97,3.44,1614607351
86,Hermanus,ZA,-34.4187,19.2345,71.01,89,97,4.09,1614607353
87,Sembakung,ID,3.8167,117.25,82.4,78,40,4.61,1614607354
88,Khatanga,RU,71.9667,102.5,-27.71,86,88,3.53,1614607355
89,Maniitsoq,GL,65.4167,-52.9,6.66,89,100,15.59,1614607357
90,Mendi,PG,-6.1761,143.6513,56.71,97,100,1.63,1614607358
91,Nemuro,JP,43.3236,145.575,27.75,99,100,17.63,1614607359
92,Mumford,GH,5.2618,-0.759,83.39,73,86,9.86,1614607361
93,Pahrump,US,36.2083,-115.9839,28.4,31,1,1.57,1614607198
94,Norwich,GB,52.6278,1.2983,42.01,100,75,6.91,1614607258
95,Saint Paul Harbor,US,57.79,-152.4072,28.4,74,90,11.52,1614607364
96,Whittlesea,ZA,-32.1759,26.8244,81.59,37,88,9.01,1614607365
97,Norman Wells,CA,65.282,-126.8329,-29.2,68,40,3.44,1614607366
98,Agadez,NE,19.75,10.25,82.51,13,99,8.66,1614607368
99,Rovaniemi,FI,66.5,25.7167,39.2,48,0,17.27,1614607314
100,Provideniya,RU,64.3833,-173.3,-11.09,84,100,20.74,1614607371
101,Port Lincoln,AU,-34.7333,135.8667,61.05,81,100,22.26,1614607372
102,Thompson,CA,55.7435,-97.8558,-27.4,75,40,5.08,1614607373
103,Xam Nua,LA,20.4197,104.0439,63.79,73,0,2.68,1614607376
104,Hirado,JP,33.3597,129.5531,66.0,61,100,7.0,1614607229
105,Yar-Sale,RU,66.8333,70.8333,-6.02,91,98,17.18,1614607379
106,Nizhniy Odes,RU,63.6445,54.856,15.21,96,100,14.29,1614607380
107,Palu,ID,-0.8917,119.8707,76.98,79,100,0.92,1614607091
108,Sosnovo-Ozerskoye,RU,52.5249,111.5418,-10.7,90,2,4.38,1614607383
109,Broken Hill,AU,-31.95,141.4333,75.2,29,0,10.36,1614607385
110,Jijiga,ET,9.35,42.8,78.62,27,97,13.2,1614607386
111,Beloha,MG,-25.1667,45.05,78.76,76,100,16.08,1614607388
112,Bowen,AU,-20.0167,148.2333,77.0,94,75,14.97,1614607389
113,Huesca,ES,42.1362,-0.4087,53.6,58,75,10.36,1614607390
114,Hilo,US,19.7297,-155.09,69.8,83,90,5.88,1614607244
115,Plettenberg Bay,ZA,-34.0527,23.3716,78.57,66,51,5.44,1614607393
116,Atuona,PF,-9.8,-139.0333,79.11,75,21,12.37,1614607394
117,Stornoway,GB,58.2093,-6.3865,48.99,81,75,12.66,1614607395
118,Les Cayes,HT,18.2,-73.75,79.5,63,1,1.61,1614607397
119,George Town,MY,5.4112,100.3354,86.0,70,20,2.3,1614607207
120,Kemijärvi,FI,66.7131,27.4306,33.19,89,82,13.11,1614607399
121,Bethel,US,41.3712,-73.414,41.0,87,90,6.24,1614607401
122,Torbay,CA,47.6666,-52.7314,32.0,93,90,19.57,1614607386
123,Kamenka,RU,51.3223,42.7678,26.01,80,54,4.03,1614607403
124,Souillac,MU,-20.5167,57.5167,84.2,74,75,13.8,1614607263
125,Hervey Bay,AU,-25.2986,152.8535,79.0,81,92,5.99,1614607405
126,Sovetskiy,RU,61.3614,63.5842,-7.49,98,33,6.87,1614607407
127,Khuzhir,RU,53.1939,107.3397,4.08,88,100,2.66,1614607408
128,Mossamedes,AO,-15.1961,12.1522,80.6,57,75,17.27,1614607409
129,Marsaxlokk,MT,35.8419,14.5431,61.0,72,75,11.5,1614607410
130,Vícar,ES,36.8316,-2.6427,64.99,55,75,19.57,1614607411
131,Zharkent,KZ,44.1628,80.0,35.65,72,99,2.26,1614607414
132,Saldanha,ZA,-33.0117,17.9442,73.4,73,53,8.05,1614607415
133,Shīeli,KZ,44.1667,66.75,43.74,49,42,3.56,1614607416
134,East London,ZA,-33.0153,27.9116,78.8,69,0,21.85,1614607216
135,Shihezi,CN,44.3,86.0333,10.11,94,72,2.68,1614607418
136,Yellowknife,CA,62.456,-114.3525,-9.99,58,90,11.5,1614607201
137,Tuktoyaktuk,CA,69.4541,-133.0374,-32.37,81,33,5.57,1614607421
138,Vardø,NO,70.3705,31.1107,33.8,80,40,20.71,1614607422
139,Labé,GN,11.3182,-12.2833,90.99,13,77,4.07,1614607423
140,Fukuechō,JP,32.6881,128.8419,59.86,95,100,21.63,1614607424
141,Farnes,NO,61.3167,7.8,41.0,81,75,16.11,1614607425
142,Butaritari,KI,3.0707,172.7902,79.88,80,35,13.82,1614607427
143,Baykit,RU,61.67,96.37,-24.63,80,60,2.51,1614607428
144,Bilma,NE,18.6853,12.9164,88.12,11,62,2.62,1614607429
145,Am Timan,TD,11.0297,20.2827,103.33,8,14,9.89,1614607431
146,Santa Maria,BR,-29.6842,-53.8069,84.29,51,2,6.62,1614607368
147,Andújar,ES,38.0392,-4.0508,66.0,40,80,4.16,1614607433
148,Constitución,CL,-35.3333,-72.4167,70.38,55,0,2.71,1614607299
149,Pangnirtung,CA,66.1451,-65.7125,-14.8,53,75,5.75,1614607435
150,Ilulissat,GL,69.2167,-51.1,1.4,51,40,13.8,1614607436
151,Itimādpur,IN,27.25,78.2,72.7,20,0,9.37,1614607437
152,Faanui,PF,-16.4833,-151.75,82.51,71,100,3.53,1614607438
153,São João da Barra,BR,-21.6403,-41.0511,80.6,74,40,4.72,1614607440
154,Sabang,ID,5.8933,95.3214,82.13,72,99,11.92,1614607442
155,Mar del Plata,AR,-38.0023,-57.5575,75.2,83,75,11.5,1614607393
156,Cocorit,MX,27.5833,-109.9667,46.4,23,40,8.05,1614607445
157,Juli,PE,-16.2167,-69.45,46.45,77,83,7.65,1614607447
158,Caravelas,BR,-17.7125,-39.2481,80.56,71,53,6.85,1614607448
159,Dikson,RU,73.5069,80.5464,-15.23,85,100,22.55,1614607449
160,Champerico,GT,14.3,-91.9167,71.6,88,20,10.36,1614607451
161,Marawi,PH,7.9986,124.2928,79.0,89,59,5.99,1614607452
162,Burdur,TR,37.7203,30.2908,50.0,23,0,9.22,1614607171
163,Castro,BR,-24.7911,-50.0119,74.7,65,98,6.64,1614607455
164,Gemena,CD,3.25,19.7667,106.36,10,0,5.59,1614607457
165,Port Elizabeth,ZA,-33.918,25.5701,77.0,65,0,14.97,1614607399
166,Qaqortoq,GL,60.7167,-46.0333,24.8,42,20,8.05,1614607459
167,Klaksvík,FO,62.2266,-6.589,46.4,100,90,21.85,1614607460
168,Kieta,PG,-6.2167,155.6333,80.08,83,99,7.83,1614607461
169,Saint-Pierre,RE,-21.3393,55.4781,84.2,65,20,25.32,1614607207
170,Samarinda,ID,-0.5,117.15,77.77,81,100,1.54,1614607433
171,Gopālpur,IN,19.2667,84.9167,77.07,79,0,12.82,1614607221
172,Ballina,AU,-28.8667,153.5667,69.8,94,40,5.79,1614607467
173,Beringovskiy,RU,63.05,179.3167,-3.1,91,100,25.84,1614607468
174,Avarua,CK,-21.2078,-159.775,78.8,83,75,4.61,1614607471
175,Monterrey,MX,25.6667,-100.3167,70.0,68,40,6.91,1614607402
176,Sekoma,BW,-24.4,23.8833,76.75,41,67,11.95,1614607473
177,Boyabat,TR,41.4689,34.7667,48.2,53,75,12.66,1614607475
178,São Gabriel da Cachoeira,BR,-0.1303,-67.0892,73.4,100,90,2.3,1614607220
179,Xining,CN,36.6167,101.7667,31.73,76,0,4.36,1614607477
180,Pisco,PE,-13.7,-76.2167,75.2,78,75,2.3,1614607478
181,Kahului,US,20.8947,-156.47,69.8,78,20,13.8,1614607480
182,Arraial do Cabo,BR,-22.9661,-42.0278,82.4,69,40,13.8,1614607481
183,Atar,MR,20.5169,-13.0499,80.67,14,0,10.49,1614607482
184,Margate,GB,51.3813,1.3862,42.01,81,0,1.01,1614607483
185,Kiryat Gat,IL,31.61,34.7642,64.0,54,14,1.99,1614607485
186,Khorixas,NA,-20.3667,14.9667,92.7,22,23,10.94,1614607486
187,Guerrero Negro,MX,27.9769,-114.0611,49.91,41,100,1.72,1614607488
188,San Policarpo,PH,12.1791,125.5072,80.19,84,65,9.66,1614607489
189,St. George's,GD,12.0564,-61.7485,82.4,61,20,17.27,1614607490
190,Kupang,ID,-10.1667,123.5833,77.43,86,100,5.55,1614607492
191,Rocha,UY,-34.4833,-54.3333,77.77,63,100,10.25,1614607227
192,Chernyshevskiy,RU,63.0128,112.4714,-35.79,84,2,0.34,1614607495
193,Glencoe,ZA,-28.1783,30.147,73.76,38,0,6.78,1614607496
194,Ojinaga,MX,29.5667,-104.4167,46.4,36,1,8.05,1614607497
195,Foumban,CM,5.7291,10.9001,97.16,12,58,4.85,1614607499
196,Hamilton,US,39.1834,-84.5333,37.99,75,90,9.22,1614607323
197,Khor,RU,47.8861,134.9464,-7.33,85,0,6.31,1614607501
198,Yatou,CN,37.15,122.3833,33.28,88,29,15.08,1614607503
199,Mount Isa,AU,-20.7333,139.5,82.4,51,20,1.14,1614607243
200,Bandarbeyla,SO,9.4942,50.8122,78.48,71,85,14.47,1614607505
201,Nuuk,GL,64.1835,-51.7216,12.2,73,90,5.75,1614607232
202,Sept-Îles,CA,50.2001,-66.3821,28.4,93,90,29.93,1614607509
203,Nome,US,64.5011,-165.4064,-2.2,60,90,13.8,1614607510
204,Tot'ma,RU,59.9747,42.7642,32.67,97,100,12.26,1614607511
205,Ribeira Grande,PT,38.5167,-28.7,59.0,67,20,14.97,1614607512
206,Manbij,SY,36.5281,37.9549,51.8,58,75,5.75,1614607513
207,Nishihara,JP,26.1842,127.7558,69.8,78,40,4.61,1614607515
208,Walvis Bay,NA,-22.9575,14.5053,80.6,50,0,13.8,1614607517
209,Waipawa,NZ,-41.4122,175.5153,64.4,82,90,8.05,1614607518
210,Kruisfontein,ZA,-34.0033,24.7314,90.1,41,100,19.33,1614607519
211,Anloga,GH,5.7947,0.8973,91.4,62,20,12.66,1614607520
212,Menemen,TR,38.6075,27.0694,59.0,30,0,19.57,1614607522
213,Hong Kong,HK,22.2855,114.1577,72.0,87,5,4.68,1614607377
214,Hualmay,PE,-11.0964,-77.6139,75.76,61,72,6.2,1614607524
215,Dingle,PH,10.9995,122.6711,76.46,83,5,6.42,1614607527
216,Saint-Augustin,CA,51.226,-58.6502,18.19,88,43,7.56,1614607528
217,Birao,CF,10.2849,22.7882,99.57,9,0,11.74,1614607529
218,Havre-St-Pierre,CA,50.2334,-63.5986,28.4,80,90,19.57,1614607530
219,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,17.6,62,20,8.95,1614607257
220,Doctor Juan León Mallorquín,PY,-25.4,-55.2667,84.2,65,75,14.97,1614607532
221,Dunedin,NZ,-45.8742,170.5036,61.0,93,65,1.99,1614607280
222,Mahébourg,MU,-20.4081,57.7,84.2,74,75,13.8,1614607535
223,Katsuura,JP,35.1333,140.3,57.99,91,95,1.99,1614607536
224,Kātrās,IN,23.8,86.2833,82.06,18,0,7.11,1614607537
225,Hendaye,FR,43.3717,-1.7738,62.01,51,0,1.14,1614607539
226,Chara,RU,56.9064,118.2631,-24.81,63,46,1.63,1614607542
227,Longyearbyen,SJ,78.2186,15.6401,12.2,73,20,3.44,1614607261
228,Tezu,IN,27.9167,96.1667,71.08,32,61,4.09,1614607544
229,Matata,NZ,-37.8833,176.75,64.0,94,100,1.01,1614607546
230,Aklavik,CA,68.2191,-135.0107,-34.6,74,82,2.26,1614607547
231,Waingapu,ID,-9.6567,120.2641,79.72,78,85,2.68,1614607548
232,San Jerónimo,PE,-11.9472,-75.2829,54.28,60,11,1.5,1614607550
233,Adrar,MR,20.5022,-10.0711,78.01,17,0,8.39,1614607551
234,Upernavik,GL,72.7868,-56.1549,-12.77,84,100,6.82,1614607553
235,Kenai,US,60.5544,-151.2583,15.01,85,90,12.66,1614607554
236,Kokopo,PG,-4.352,152.2633,79.65,81,100,6.93,1614607556
237,Tiksi,RU,71.6872,128.8694,-30.57,85,100,3.31,1614607557
238,Port Blair,IN,11.6667,92.75,79.5,65,0,7.63,1614607559
239,Camacha,PT,33.0833,-16.3333,60.8,67,75,12.66,1614607560
240,Rosarito,MX,32.3333,-117.0333,53.6,22,1,9.53,1614607562
241,Halmstad,SE,56.6745,12.8568,43.0,93,90,11.5,1614607563
242,Ambanja,MG,-13.6833,48.45,82.4,82,75,6.91,1614607565
243,Dwārka,IN,22.2394,68.9678,75.38,61,0,12.03,1614607566
244,Mahajanga,MG,-15.7167,46.3167,84.2,79,40,11.5,1614607567
245,Denpasar,ID,-8.65,115.2167,84.2,74,20,3.44,1614607569
246,Korla,CN,41.7597,86.1469,35.01,79,4,9.28,1614607570
247,Gilgit,PK,35.9221,74.3087,39.02,58,3,3.56,1614607572
248,Abnūb,EG,27.2696,31.1511,71.6,40,0,13.8,1614607573
249,Winslow,US,35.0242,-110.6974,8.6,33,1,4.21,1614607574
250,La Primavera,CO,5.4906,-70.4092,84.09,45,34,15.88,1614607576
251,Riberalta,BO,-10.9833,-66.1,75.2,94,75,5.75,1614607577
252,Eureka,US,40.8021,-124.1637,42.01,100,1,6.91,1614607579
253,Cap Malheureux,MU,-19.9842,57.6142,80.01,72,0,8.99,1614607580
254,Chicama,PE,-7.8447,-79.1469,71.6,88,40,5.75,1614607581
255,Cayenne,GF,4.9333,-52.3333,80.6,74,75,5.75,1614607583
256,Avilés,ES,43.5547,-5.9248,64.0,63,20,2.3,1614607585
257,Geraldton,AU,-28.7667,114.6,73.4,78,5,11.5,1614607587
258,Berdigestyakh,RU,62.0989,126.6992,-24.41,85,99,4.59,1614607588
259,Port Hedland,AU,-20.3167,118.5667,82.4,74,100,6.91,1614607589
260,Jojoima,SL,7.8792,-10.7878,86.38,58,96,1.92,1614607591
261,Salinópolis,BR,-0.6136,-47.3561,82.27,78,21,8.93,1614607592
262,Itagi,BR,-14.1628,-40.0061,83.41,53,26,7.4,1614607593
263,Maple Creek,CA,49.9168,-109.4848,39.2,56,12,17.27,1614607327
264,Iligan,PH,8.2282,124.2412,79.0,89,15,5.99,1614607596
265,Leningradskiy,RU,69.3833,178.4167,-25.24,85,100,1.92,1614607597
266,Iquitos,PE,-3.7481,-73.2472,78.8,83,75,2.3,1614607600
267,Deputatsky,RU,69.3,139.9,-34.44,86,1,0.63,1614607601
268,Solntsevo,RU,51.4185,36.7499,35.6,69,75,4.47,1614607603
269,Belen,TR,36.4891,36.2233,59.0,77,75,4.61,1614607604
270,Turaif,SA,31.6725,38.6637,62.6,36,40,11.5,1614607606
271,Eilat,IL,29.5581,34.9482,75.2,38,0,4.61,1614607314
272,Alès,FR,44.1333,4.0833,62.6,42,0,4.61,1614607608
273,Banda Aceh,ID,5.5577,95.3222,79.56,79,68,11.34,1614607610
274,Kargil,IN,34.5667,76.1,9.03,85,1,2.15,1614607612
275,Gazli,UZ,40.1333,63.45,55.22,36,0,5.97,1614607613
276,Waddān,LY,29.1614,16.139,70.25,24,0,4.18,1614607615
277,Haines Junction,CA,60.7522,-137.5108,5.0,72,100,3.44,1614607616
278,Takoradze,GH,4.8845,-1.7554,84.27,72,77,9.42,1614607617
279,Severo-Yeniseyskiy,RU,60.3725,93.0408,-23.78,88,41,2.33,1614607619
280,Harindānga,IN,22.0383,88.3214,84.2,42,0,3.44,1614607620
281,Piaçabuçu,BR,-10.4056,-36.4344,83.48,67,45,16.93,1614607621
282,Sulangan,PH,11.1373,123.7228,82.29,78,76,10.87,1614607622
283,Puerto Limón,CR,10.0,-83.0333,73.4,94,75,6.91,1614607624
284,Cherskiy,RU,68.75,161.3,-23.71,83,3,3.29,1614607625
285,Manzanillo,CU,20.3433,-77.1167,79.52,55,0,9.51,1614607626
286,Alofi,NU,-19.0595,-169.9187,75.2,100,90,4.61,1614607627
287,Sinnamary,GF,5.3833,-52.95,78.8,84,61,10.67,1614607629
288,Lagoa,PT,39.05,-27.9833,55.83,65,48,12.66,1614607630
289,Labuhan,ID,-6.8844,112.2051,80.26,82,94,4.76,1614607632
290,Port Keats,AU,-14.25,129.55,82.6,78,99,8.88,1614607633
291,Mengcheng,CN,33.2579,116.5655,36.79,85,43,4.52,1614607635
292,Līsakovsk,KZ,52.5369,62.4936,-0.42,94,14,2.01,1614607636
293,Los Llanos de Aridane,ES,28.6585,-17.9182,71.6,53,20,6.91,1614607639
294,Coquimbo,CL,-29.9533,-71.3436,60.8,88,90,2.3,1614607640
295,Akureyri,IS,65.6835,-18.0878,39.2,60,75,17.27,1614607641
296,Mayfield,US,36.7417,-88.6367,39.99,87,1,6.91,1614607642
297,Chhor,PK,25.5167,69.7667,76.57,10,0,5.08,1614607644
298,Ponta do Sol,PT,32.6667,-17.1,64.4,52,40,12.66,1614607645
299,Baška,CZ,49.6458,18.3723,41.0,75,90,6.91,1614607646
300,Forsytheganj,BY,52.6333,29.7333,38.8,81,64,6.31,1614607648
301,Batticaloa,LK,7.7102,81.6924,79.21,66,0,5.93,1614607649
302,Zhigansk,RU,66.7697,123.3711,-25.38,85,93,3.6,1614607650
303,Eydhafushi,MV,5.1033,73.0708,83.3,66,76,9.75,1614607651
304,Kapit,MY,2.0167,112.9333,74.7,93,100,0.43,1614607653
305,North Platte,US,41.1239,-100.7654,23.0,80,1,5.75,1614607654
306,Mercedes,AR,-34.6515,-59.4307,80.01,76,0,1.99,1614607443
307,Paliā Kalān,IN,28.45,80.5833,71.62,19,0,10.16,1614607657
308,Aligoodarz,IR,33.4006,49.6949,42.22,66,59,5.23,1614607658
309,Bukachacha,RU,52.9833,116.9167,-15.16,87,100,0.43,1614607660
310,Xochistlahuaca,MX,16.7833,-98.25,73.9,56,0,1.86,1614607661
